path,provenance,source_modified_at_sydney,package_modified_at_sydney,snapshot_at_sydney,size_bytes,sha256
sound_design/contour_soft_screening_v1/C2_reduced_harmonic/T01_cruise_entry.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,8d404645256e7d33acbb6aa12216c2e7d7d615d222490832f4be8dcb8e1f44a0
sound_design/contour_soft_screening_v1/C2_reduced_harmonic/T02_descent_begin.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,28246edbcbba3492c4ab0fea28c4927688b22c9fce4481bb35cba389a772149b
sound_design/contour_soft_screening_v1/C2_reduced_harmonic/T03_landing_preparation.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,4d47f98430dae39dafd4b570e3c26e0c7f3e461bc29c2327996d4f2cba02e26e
sound_design/contour_soft_screening_v1/C3_smoother_envelope/T01_cruise_entry.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,a8f52087a22bb2d335d354be9ce2cdc327aa314d8285d01f4873e048d5f64ad5
sound_design/contour_soft_screening_v1/C3_smoother_envelope/T02_descent_begin.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,f5bc3dc8fe0362b6fac91e3bec2dcec396754af66ce52ee73b0ca41b155b43ad
sound_design/contour_soft_screening_v1/C3_smoother_envelope/T03_landing_preparation.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,81e691efeed30c374b7306957a755149a8be86f5cdc971bb8982b1738119a9ac
sound_design/contour_soft_screening_v1/README.md,Mac source snapshot,2026-09-22T23:56:35+10:00,2026-09-22T23:56:35+10:00,2026-09-25T19:44:20+10:00,4006,07259da947d99fc1640957919c3b3cdc1cd1d2160c95f528e28cfa3f9d019a94
sound_design/contour_soft_screening_v1/audit_contour_soft_candidates.py,Mac source snapshot,2026-09-20T20:30:48+10:00,2026-09-20T20:30:48+10:00,2026-09-25T19:44:20+10:00,2523,6e730263d22c71b507345d920eef26fc205d1972d1a5ba0a4d57e6e6be6999f1
sound_design/contour_soft_screening_v1/audition.html,Mac source snapshot,2026-09-22T23:52:33+10:00,2026-09-22T23:52:33+10:00,2026-09-25T19:44:20+10:00,2738,6513b66adb29486d2ea96dee4db96cf8a251dd811a31765471f925a0a34bf5c1
sound_design/contour_soft_screening_v1/candidate_analysis.json,Mac source snapshot,2026-09-20T20:34:43+10:00,2026-09-20T20:34:43+10:00,2026-09-25T19:44:20+10:00,4301,ba6bca2084042776be5c6f26918618a85469695978e4f076a5d2a2cc3f092549
